"Story","Title","Result","Date","Stability","Duration (s)"
"Register","POST - Register with valid data","SUCCESS","2023-05-08T16:19:35.5939901+07:00[Asia/Bangkok]","0.0","14.83"
"Register","POST - Register without fullname","SUCCESS","2023-05-08T16:19:50.4525409+07:00[Asia/Bangkok]","0.0","0.34"
"Register","POST - Register without email","SUCCESS","2023-05-08T16:19:50.807622+07:00[Asia/Bangkok]","0.0","0.26"
"Register","POST - Register without password","SUCCESS","2023-05-08T16:19:51.0956875+07:00[Asia/Bangkok]","0.0","0.34"
"Register","POST - Register with existed account","SUCCESS","2023-05-08T16:19:51.4443061+07:00[Asia/Bangkok]","0.0","0.25"
"Login","POST - Login with valid credential","SUCCESS","2023-05-08T16:19:51.7263689+07:00[Asia/Bangkok]","0.0","0.34"
"Login","POST - Login wrong password","SUCCESS","2023-05-08T16:19:52.0804479+07:00[Asia/Bangkok]","0.0","0.26"
"Login","POST - Login with empty email","SUCCESS","2023-05-08T16:19:52.3535109+07:00[Asia/Bangkok]","0.0","0.25"
"Login","POST - Login with empty password","SUCCESS","2023-05-08T16:19:52.6140959+07:00[Asia/Bangkok]","0.0","0.3"
"Login","POST - Login without payload","SUCCESS","2023-05-08T16:19:52.9288551+07:00[Asia/Bangkok]","0.0","0.25"
"Login","POST - Login with empty body parameter","SUCCESS","2023-05-08T16:19:53.1935442+07:00[Asia/Bangkok]","0.0","0.26"
"User Information","GET - Get user information","SUCCESS","2023-05-08T16:19:53.4655817+07:00[Asia/Bangkok]","0.0","0.29"
"User Information","GET - Get user information without token","SUCCESS","2023-05-08T16:19:53.7673869+07:00[Asia/Bangkok]","0.0","0.17"
"Categories","POST - Add new category","SUCCESS","2023-05-08T16:19:53.9574295+07:00[Asia/Bangkok]","0.0","0.23"
"Categories","POST - Add new category without description data payload","SUCCESS","2023-05-08T16:19:54.1986707+07:00[Asia/Bangkok]","0.0","0.28"
"Categories","POST - Add new category without name data payload","SUCCESS","2023-05-08T16:19:54.4867377+07:00[Asia/Bangkok]","0.0","0.21"
"Categories","GET - Get list all categories","SUCCESS","2023-05-08T16:19:54.7069168+07:00[Asia/Bangkok]","0.0","0.3"
"Categories","GET - Get categories by ID","SUCCESS","2023-05-08T16:19:55.0175893+07:00[Asia/Bangkok]","0.0","0.29"
"Categories","DEL - Delete category with ID","SUCCESS","2023-05-08T16:19:55.3226591+07:00[Asia/Bangkok]","0.0","0.26"
"Categories","DEL - Delete category with invalid ID","SUCCESS","2023-05-08T16:19:55.5913374+07:00[Asia/Bangkok]","0.0","0.2"
"Product","POST - Add new product product","SUCCESS","2023-05-08T16:19:55.7993836+07:00[Asia/Bangkok]","0.0","0.25"
"Product","POST - Add new product without fill name","SUCCESS","2023-05-08T16:19:56.0574421+07:00[Asia/Bangkok]","0.0","0.22"
"Product","POST - Add new product without fill description","SUCCESS","2023-05-08T16:19:56.2884936+07:00[Asia/Bangkok]","0.0","0.2"
"Product","POST - Add new product without fill price","SUCCESS","2023-05-08T16:19:56.5005426+07:00[Asia/Bangkok]","0.0","0.24"
"Product","GET - Get product by ID","SUCCESS","2023-05-08T16:19:56.7521176+07:00[Asia/Bangkok]","0.0","0.56"
"Product","GET - Get all product","SUCCESS","2023-05-08T16:19:57.3275033+07:00[Asia/Bangkok]","0.0","0.25"
"Product","GET - Get product by invalid ID","SUCCESS","2023-05-08T16:19:57.5925619+07:00[Asia/Bangkok]","0.0","0.26"
"Order","POST - Add new orders","SUCCESS","2023-05-08T16:19:57.8636218+07:00[Asia/Bangkok]","0.0","0.22"
"Order","GET - Get all order","SUCCESS","2023-05-08T16:19:58.0876726+07:00[Asia/Bangkok]","0.0","0.21"
"Order","GET - Get all order without login","SUCCESS","2023-05-08T16:19:58.3097235+07:00[Asia/Bangkok]","0.0","0.24"
"Rating","POST - Give product rating","SUCCESS","2023-05-08T16:19:58.5607794+07:00[Asia/Bangkok]","0.0","0.24"
"Rating","POST - Give product rating out of bond","SUCCESS","2023-05-08T16:19:58.806835+07:00[Asia/Bangkok]","0.0","0.21"
"Rating","GET - Get product rating","SUCCESS","2023-05-08T16:19:59.030337+07:00[Asia/Bangkok]","0.0","0.28"
"Rating","GET - Get product rating with invalid data","SUCCESS","2023-05-08T16:19:59.3164005+07:00[Asia/Bangkok]","0.0","0.23"
"Comment","POST - Post comment","SUCCESS","2023-05-08T16:19:59.5624573+07:00[Asia/Bangkok]","0.0","0.22"
"Comment","GET - Get comment with correct endpoints","SUCCESS","2023-05-08T16:19:59.7895093+07:00[Asia/Bangkok]","0.0","0.23"
"Comment","Get comment with incorrect endpoints","SUCCESS","2023-05-08T16:20:00.0345647+07:00[Asia/Bangkok]","0.0","0.34"
