"Story","Title","Result","Date","Stability","Duration (s)"
"Register","POST - Register without fullname","SUCCESS","2023-05-07T10:30:56.611172+07:00[Asia/Bangkok]","0.0","0.18"
"Register","POST - Register without email","SUCCESS","2023-05-07T10:30:56.8152164+07:00[Asia/Bangkok]","0.0","0.22"
"Register","POST - Register without password","SUCCESS","2023-05-07T10:30:57.0492979+07:00[Asia/Bangkok]","0.0","0.46"
"Register","POST - Register with existed account","SUCCESS","2023-05-07T10:30:57.5235891+07:00[Asia/Bangkok]","0.0","0.17"
"Login","POST - Login with valid credential","SUCCESS","2023-05-07T10:30:57.7136317+07:00[Asia/Bangkok]","0.0","0.18"
"Login","POST - Login wrong password","SUCCESS","2023-05-07T10:30:57.9006736+07:00[Asia/Bangkok]","0.0","0.4"
"Login","POST - Login with empty email","SUCCESS","2023-05-07T10:30:58.3096983+07:00[Asia/Bangkok]","0.0","0.19"
"Login","POST - Login with empty password","SUCCESS","2023-05-07T10:30:58.5087195+07:00[Asia/Bangkok]","0.0","0.22"
"Login","POST - Login without payload","SUCCESS","2023-05-07T10:30:58.7333569+07:00[Asia/Bangkok]","0.0","0.34"
"Login","POST - Login with empty body parameter","SUCCESS","2023-05-07T10:30:59.0775529+07:00[Asia/Bangkok]","0.0","0.17"
"User Information","GET - Get user information","SUCCESS","2023-05-07T10:30:59.2625965+07:00[Asia/Bangkok]","0.0","0.42"
"User Information","GET - Get user information without token","SUCCESS","2023-05-07T10:30:59.6921677+07:00[Asia/Bangkok]","0.0","0.25"
"Categories","POST - Add new category","SUCCESS","2023-05-07T10:30:59.9515592+07:00[Asia/Bangkok]","0.0","0.23"
"Categories","POST - Add new category without description data payload","SUCCESS","2023-05-07T10:31:00.1886127+07:00[Asia/Bangkok]","0.0","0.2"
"Categories","POST - Add new category without name data payload","SUCCESS","2023-05-07T10:31:00.3907407+07:00[Asia/Bangkok]","0.0","0.16"
"Categories","GET - Get list all categories","SUCCESS","2023-05-07T10:31:00.5587823+07:00[Asia/Bangkok]","0.0","0.21"
"Categories","GET - Get categories by ID","SUCCESS","2023-05-07T10:31:00.7788286+07:00[Asia/Bangkok]","0.0","0.2"
"Categories","DEL - Delete category with ID","SUCCESS","2023-05-07T10:31:00.9868752+07:00[Asia/Bangkok]","0.0","0.18"
"Categories","DEL - Delete category with invalid ID","SUCCESS","2023-05-07T10:31:01.1690269+07:00[Asia/Bangkok]","0.0","0.17"
"Product","POST - Add new product product","SUCCESS","2023-05-07T10:31:01.3460678+07:00[Asia/Bangkok]","0.0","0.19"
"Product","POST - Add new product without fill name","SUCCESS","2023-05-07T10:31:01.5461143+07:00[Asia/Bangkok]","0.0","0.21"
"Product","POST - Add new product without fill description","SUCCESS","2023-05-07T10:31:01.7624179+07:00[Asia/Bangkok]","0.0","0.18"
"Product","POST - Add new product without fill price","SUCCESS","2023-05-07T10:31:01.9476075+07:00[Asia/Bangkok]","0.0","0.15"
"Product","GET - Get product by ID","SUCCESS","2023-05-07T10:31:02.1026385+07:00[Asia/Bangkok]","0.0","0.27"
"Product","GET - Get all product","SUCCESS","2023-05-07T10:31:02.382701+07:00[Asia/Bangkok]","0.0","0.15"
"Product","GET - Get product by invalid ID","SUCCESS","2023-05-07T10:31:02.5387386+07:00[Asia/Bangkok]","0.0","0.15"
"Order","POST - Add new orders","SUCCESS","2023-05-07T10:31:02.7009007+07:00[Asia/Bangkok]","0.0","0.14"
"Order","GET - Get all order","SUCCESS","2023-05-07T10:31:02.8459489+07:00[Asia/Bangkok]","0.0","0.14"
"Order","GET - Get all order without login","SUCCESS","2023-05-07T10:31:02.9880216+07:00[Asia/Bangkok]","0.0","0.13"
"Rating","POST - Give product rating","SUCCESS","2023-05-07T10:31:03.1330524+07:00[Asia/Bangkok]","0.0","0.15"
"Rating","POST - Give product rating out of bond","SUCCESS","2023-05-07T10:31:03.2913564+07:00[Asia/Bangkok]","0.0","0.16"
"Rating","GET - Get product rating","SUCCESS","2023-05-07T10:31:03.4586708+07:00[Asia/Bangkok]","0.0","0.13"
"Rating","GET - Get product rating with invalid data","SUCCESS","2023-05-07T10:31:03.5971864+07:00[Asia/Bangkok]","0.0","0.14"
"Comment","POST - Post comment","SUCCESS","2023-05-07T10:31:03.7453182+07:00[Asia/Bangkok]","0.0","0.17"
"Comment","GET - Get comment with correct endpoints","SUCCESS","2023-05-07T10:31:03.9253628+07:00[Asia/Bangkok]","0.0","0.16"
"Comment","Get comment with incorrect endpoints","SUCCESS","2023-05-07T10:31:04.0943971+07:00[Asia/Bangkok]","0.0","0.21"
