"Story","Title","Result","Date","Stability","Duration (s)"
"Register to Alta-shop Account","Register with valid data","SUCCESS","2023-05-06T20:19:11.8903984+07:00[Asia/Bangkok]","0.0","6.06"
"Register to Alta-shop Account","Register without fill the fullname","SUCCESS","2023-05-06T20:19:19.1845375+07:00[Asia/Bangkok]","0.0","4.35"
"Register to Alta-shop Account","Register without fill the email","SUCCESS","2023-05-06T20:19:24.2517823+07:00[Asia/Bangkok]","0.0","9.49"
"Register to Alta-shop Account","Register without fill the password","SUCCESS","2023-05-06T20:19:34.4849354+07:00[Asia/Bangkok]","0.0","3.54"
"Register to Alta-shop Account","Register with existed email","SUCCESS","2023-05-06T20:19:38.7328175+07:00[Asia/Bangkok]","0.0","3.2"
"Login to Alta-shop Account","Login with correct credentials","SUCCESS","2023-05-06T20:19:42.6472398+07:00[Asia/Bangkok]","0.0","3.4"
"Login to Alta-shop Account","Login with wrong password","SUCCESS","2023-05-06T20:19:46.7068672+07:00[Asia/Bangkok]","0.0","3.21"
"Login to Alta-shop Account","Login with wrong email","SUCCESS","2023-05-06T20:19:50.5731763+07:00[Asia/Bangkok]","0.0","2.98"
"Login to Alta-shop Account","Login with invalid email","SUCCESS","2023-05-06T20:19:54.2045325+07:00[Asia/Bangkok]","0.0","2.71"
"Login to Alta-shop Account","Login without input any fields","SUCCESS","2023-05-06T20:19:57.556552+07:00[Asia/Bangkok]","0.0","2.65"
"Product","Add to cart by buy a product with login","SUCCESS","2023-05-06T20:20:00.8797044+07:00[Asia/Bangkok]","0.0","4.42"
"Product","Add to cart by buy a product without login","SUCCESS","2023-05-06T20:20:06.0135436+07:00[Asia/Bangkok]","0.0","0.12"
"Product","Adding product from cart page","SUCCESS","2023-05-06T20:20:06.1485734+07:00[Asia/Bangkok]","0.0","0.07"
"Product","Reducing product from cart page","SUCCESS","2023-05-06T20:20:06.2215923+07:00[Asia/Bangkok]","0.0","0.04"
"Product","View product detail","SUCCESS","2023-05-06T20:20:06.2675999+07:00[Asia/Bangkok]","0.0","0.05"
"Category","Select category","SUCCESS","2023-05-06T20:20:06.3216131+07:00[Asia/Bangkok]","0.0","3.29"
"Category","Clear category","SUCCESS","2023-05-06T20:20:10.2697293+07:00[Asia/Bangkok]","0.0","4.43"
"Transaction","View Transaction","SUCCESS","2023-05-06T20:20:15.3814269+07:00[Asia/Bangkok]","0.0","4.86"
"Transaction","View transaction without login","SUCCESS","2023-05-06T20:20:20.9170301+07:00[Asia/Bangkok]","0.0","3.31"
"Transaction","Pay the product we've added to cart","SUCCESS","2023-05-06T20:20:24.8885101+07:00[Asia/Bangkok]","0.0","12.13"
"Transaction","Failed to pay when user hasn't login yet","SUCCESS","2023-05-06T20:20:37.7030118+07:00[Asia/Bangkok]","0.0","4.34"
"Logout from Alta-shop Account","Logout from account","SUCCESS","2023-05-06T20:20:42.7066648+07:00[Asia/Bangkok]","0.0","3.85"
