"Story","Title","Result","Date","Stability","Duration (s)"
"Register to Alta-shop Account","Register with valid data","SUCCESS","2023-05-08T16:10:23.4877864+07:00[Asia/Bangkok]","0.0","9.82"
"Register to Alta-shop Account","Register without fill the email","SUCCESS","2023-05-08T16:10:47.8146078+07:00[Asia/Bangkok]","0.0","5.12"
"Register to Alta-shop Account","Register without fill the password","SUCCESS","2023-05-08T16:10:53.674621+07:00[Asia/Bangkok]","0.0","5.01"
"Login to Alta-shop Account","Login with correct credentials","SUCCESS","2023-05-08T16:11:35.3942231+07:00[Asia/Bangkok]","0.0","4.94"
"Login to Alta-shop Account","Login with wrong password","SUCCESS","2023-05-08T16:11:41.0034063+07:00[Asia/Bangkok]","0.0","5.92"
"Login to Alta-shop Account","Login with wrong email","SUCCESS","2023-05-08T16:11:47.5682564+07:00[Asia/Bangkok]","0.0","6.79"
"Login to Alta-shop Account","Login without input any fields","SUCCESS","2023-05-08T16:12:09.2488036+07:00[Asia/Bangkok]","0.0","4.41"
"Product","Add to cart by buy a product with login","SUCCESS","2023-05-08T16:12:14.3156546+07:00[Asia/Bangkok]","0.0","9.1"
"Category","Select category","SUCCESS","2023-05-08T16:12:24.3777785+07:00[Asia/Bangkok]","0.0","8.22"
"Transaction","View transaction without login","SUCCESS","2023-05-08T16:13:02.1744052+07:00[Asia/Bangkok]","0.0","6.4"
"Transaction","Pay the product we've added to cart","SUCCESS","2023-05-08T16:13:09.2561484+07:00[Asia/Bangkok]","0.0","8.67"
"Transaction","Failed to pay when user hasn't login yet","SUCCESS","2023-05-08T16:13:18.5890932+07:00[Asia/Bangkok]","0.0","6.31"
"Logout from Alta-shop Account","Logout from account","SUCCESS","2023-05-08T16:13:25.6649374+07:00[Asia/Bangkok]","0.0","9.68"
