"Story","Title","Result","Date","Stability","Duration (s)"
"Register to Alta-shop Account","Register with valid data","SUCCESS","2023-05-07T10:39:35.88245+07:00[Asia/Bangkok]","0.0","5.77"
"Register to Alta-shop Account","Register without fill the fullname","SUCCESS","2023-05-07T10:39:42.3846206+07:00[Asia/Bangkok]","0.0","3.09"
"Register to Alta-shop Account","Register without fill the email","SUCCESS","2023-05-07T10:39:46.2024256+07:00[Asia/Bangkok]","0.0","8.86"
"Register to Alta-shop Account","Register without fill the password","SUCCESS","2023-05-07T10:39:55.803268+07:00[Asia/Bangkok]","0.0","3.32"
"Register to Alta-shop Account","Register with existed email","SUCCESS","2023-05-07T10:39:59.8468074+07:00[Asia/Bangkok]","0.0","3.36"
"Login to Alta-shop Account","Login with correct credentials","SUCCESS","2023-05-07T10:40:03.9426708+07:00[Asia/Bangkok]","0.0","3.55"
"Login to Alta-shop Account","Login with wrong password","SUCCESS","2023-05-07T10:40:08.2001677+07:00[Asia/Bangkok]","0.0","2.74"
"Login to Alta-shop Account","Login with wrong email","SUCCESS","2023-05-07T10:40:11.6107592+07:00[Asia/Bangkok]","0.0","3.07"
"Login to Alta-shop Account","Login with invalid email","SUCCESS","2023-05-07T10:40:15.3277027+07:00[Asia/Bangkok]","0.0","2.58"
"Login to Alta-shop Account","Login without input any fields","SUCCESS","2023-05-07T10:40:18.5625391+07:00[Asia/Bangkok]","0.0","23.76"
"Product","Add to cart by buy a product with login","SUCCESS","2023-05-07T10:40:42.9709214+07:00[Asia/Bangkok]","0.0","4.62"
"Product","Add to cart by buy a product without login","SUCCESS","2023-05-07T10:40:48.2617685+07:00[Asia/Bangkok]","0.0","0.06"
"Product","Adding product from cart page","SUCCESS","2023-05-07T10:40:48.3317864+07:00[Asia/Bangkok]","0.0","0.05"
"Product","Reducing product from cart page","SUCCESS","2023-05-07T10:40:48.3877995+07:00[Asia/Bangkok]","0.0","0.03"
"Product","View product detail","SUCCESS","2023-05-07T10:40:48.4278071+07:00[Asia/Bangkok]","0.0","0.04"
"Category","Select category","SUCCESS","2023-05-07T10:40:48.4768188+07:00[Asia/Bangkok]","0.0","9.63"
"Category","Clear category","SUCCESS","2023-05-07T10:40:58.7815561+07:00[Asia/Bangkok]","0.0","5.5"
"Transaction","View Transaction","SUCCESS","2023-05-07T10:41:04.9665544+07:00[Asia/Bangkok]","0.0","4.78"
"Transaction","View transaction without login","SUCCESS","2023-05-07T10:41:10.4117048+07:00[Asia/Bangkok]","0.0","14.3"
"Transaction","Pay the product we've added to cart","SUCCESS","2023-05-07T10:41:25.3569037+07:00[Asia/Bangkok]","0.0","5.14"
"Transaction","Failed to pay when user hasn't login yet","SUCCESS","2023-05-07T10:41:31.1597927+07:00[Asia/Bangkok]","0.0","3.36"
"Logout from Alta-shop Account","Logout from account","SUCCESS","2023-05-07T10:41:35.1916016+07:00[Asia/Bangkok]","0.0","10.41"
